I enjoy meeting new people.,I prefer planning over spontaneity.,I often worry about things.,I like trying new things.,I follow through on tasks.,I sympathize with others' feelings.,I enjoy abstract ideas.,I avoid risky activities.,I prefer organized environments.,I adapt quickly to change.,I find it easy to start conversations.,I like to keep my emotions private.,I get irritated easily.,I like to explore possibilities.,I keep a tidy workspace.,I try to see things from others' perspectives.,I enjoy creative activities.,I tend to procrastinate.,I learn new skills quickly.,I prefer to stick to familiar routines.,personality
Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Thinker
Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Thinker
Disagree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Introvert
Somewhat Agree,Somewhat Disagree,Disagree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Agree,Introvert
Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Feeler
Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Disagree,Extrovert
Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Feeler
Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Extrovert
Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Introvert
Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Thinker
Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Thinker
Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Feeler
Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Disagree,Feeler
Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Disagree,Introvert
Agree,Disagree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Agree,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Agree,Disagree,Agree,Extrovert
Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Extrovert
Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Thinker
Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Feeler
Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Agree,Thinker
Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Thinker
Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Agree,Extrovert
Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Feeler
Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Introvert
Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Extrovert
Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Introvert
Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Extrovert
Somewhat Disagree,Disagree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Introvert
Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Extrovert
Disagree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Thinker
Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Disagree,Agree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Disagree,Agree,Extrovert
Somewhat Disagree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Extrovert
Agree,Somewhat Agree,Disagree,Agree,Agree,Agree,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Disagree,Somewhat Agree,Feeler
Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Thinker
Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Extrovert
Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Thinker
Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Feeler
Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Extrovert
Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Thinker
Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Thinker
Somewhat Agree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Introvert
Disagree,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Thinker
Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Introvert
Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Introvert
Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Feeler
Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Agree,Disagree,Disagree,Introvert
Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Introvert
Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Thinker
Somewhat Agree,Agree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Agree,Thinker
Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Agree,Agree,Agree,Somewhat Agree,Agree,Disagree,Introvert
Agree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Extrovert
Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Disagree,Agree,Feeler
Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Extrovert
Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Somewhat Agree,Disagree,Extrovert
Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Feeler
Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Disagree,Thinker
Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Thinker
Somewhat Disagree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Introvert
Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Thinker
Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,Extrovert
Agree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Extrovert
Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Introvert
Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Thinker
Disagree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Feeler
Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Thinker
Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Feeler
Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Agree,Somewhat Agree,Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Feeler
Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Introvert
Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Thinker
Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Agree,Agree,Introvert
Somewhat Agree,Somewhat Agree,Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Feeler
Somewhat Disagree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Feeler
Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Thinker
Disagree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Agree,Agree,Disagree,Thinker
Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Agree,Disagree,Introvert
Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Thinker
Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Feeler
Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Agree,Thinker
